iter	Passed	Remaining
0	6	6831
1	10	5005
2	12	4250
3	14	3584
4	17	3433
5	17	2892
6	17	2514
7	18	2240
8	19	2190
9	21	2136
10	23	2126
11	23	1969
12	24	1891
13	25	1804
14	26	1758
15	29	1836
16	32	1874
17	34	1873
18	37	1913
19	40	1965
20	41	1925
21	43	1945
22	46	1962
23	48	1957
24	50	1966
25	51	1940
26	53	1916
27	54	1882
28	54	1823
29	56	1835
30	57	1802
31	58	1766
32	60	1785
33	62	1789
34	64	1791
35	67	1797
36	69	1810
37	70	1791
38	72	1783
39	74	1785
40	79	1848
41	80	1844
42	82	1827
43	83	1809
44	84	1803
45	86	1798
46	89	1805
47	91	1812
48	93	1817
49	96	1833
50	99	1844
51	100	1840
52	102	1834
53	104	1826
54	106	1832
55	108	1827
56	109	1812
57	110	1791
58	111	1774
59	112	1755
60	112	1739
61	115	1743
62	116	1726
63	116	1702
64	118	1699
65	118	1682
66	119	1667
67	120	1654
68	121	1644
69	124	1653
70	126	1651
71	126	1636
72	127	1623
73	128	1610
74	130	1610
75	132	1609
76	134	1611
77	135	1596
78	135	1581
79	136	1567
80	138	1566
81	140	1568
82	141	1561
83	142	1548
84	142	1534
85	143	1521
86	143	1510
87	145	1508
88	146	1501
89	148	1498
90	148	1486
91	149	1473
92	149	1462
93	150	1452
94	152	1456
95	154	1453
96	156	1454
97	157	1445
98	157	1437
99	158	1427
100	159	1418
101	161	1417
102	162	1415
103	163	1411
104	165	1410
105	166	1402
106	168	1402
107	169	1399
108	170	1397
109	171	1388
110	172	1380
111	172	1370
112	173	1363
113	176	1370
114	177	1367
115	178	1361
116	179	1354
117	180	1346
118	181	1341
119	183	1342
120	184	1340
121	186	1340
122	188	1342
123	190	1344
124	192	1350
125	194	1346
126	194	1339
