iter	Accuracy	MultiClass
0	0.5034965035	1.080093563
1	0.5244755245	1.063935662
2	0.513986014	1.050418761
3	0.5034965035	1.040888296
4	0.513986014	1.030526897
5	0.506993007	1.023711095
6	0.5034965035	1.018132731
7	0.5034965035	1.012169094
8	0.506993007	1.004771479
9	0.513986014	0.9983242437
10	0.513986014	0.9927527399
11	0.506993007	0.9901500019
12	0.5104895105	0.9860054844
13	0.513986014	0.9825564425
14	0.527972028	0.9750934101
15	0.5314685315	0.971967149
16	0.5314685315	0.9694995842
17	0.527972028	0.9671444824
18	0.5314685315	0.9632120245
19	0.5314685315	0.9573398917
20	0.5314685315	0.95619412
21	0.5384615385	0.9534027813
22	0.5384615385	0.9515166761
23	0.534965035	0.9500991772
24	0.541958042	0.9449568194
25	0.5454545455	0.943621109
26	0.534965035	0.9416624455
27	0.541958042	0.9413643167
28	0.541958042	0.9406717164
29	0.534965035	0.9386430004
30	0.5454545455	0.9363754012
31	0.5454545455	0.9360476224
32	0.534965035	0.9300910008
33	0.5384615385	0.9289262159
34	0.534965035	0.9260484537
35	0.548951049	0.9198549826
36	0.5594405594	0.9141438165
37	0.5559440559	0.9138924519
38	0.5699300699	0.9118704397
39	0.5769230769	0.9059354151
40	0.5769230769	0.901643772
41	0.5839160839	0.9005818604
42	0.5909090909	0.8998939596
43	0.5909090909	0.8998276558
44	0.5804195804	0.8951600501
45	0.5839160839	0.8913153168
46	0.5874125874	0.8906488643
47	0.5909090909	0.8879088408
48	0.5979020979	0.8865862858
49	0.6048951049	0.8850068865
50	0.6083916084	0.8807859818
51	0.6118881119	0.8797141869
52	0.6153846154	0.8765942012
53	0.6153846154	0.8749695411
54	0.6153846154	0.8739086268
55	0.6223776224	0.8724593833
56	0.6223776224	0.8714134108
57	0.6223776224	0.8707367364
58	0.6188811189	0.8703588312
59	0.6188811189	0.8669396929
60	0.6398601399	0.8629079645
61	0.6398601399	0.8608497955
62	0.6398601399	0.8587217829
63	0.6398601399	0.8584264301
64	0.6398601399	0.8561982163
65	0.6398601399	0.8532136949
66	0.6398601399	0.8523877021
67	0.6363636364	0.8499820429
68	0.6398601399	0.8467533245
69	0.6468531469	0.8451357535
70	0.6573426573	0.8421507123
71	0.6503496503	0.8359649491
72	0.6573426573	0.8335631556
73	0.6608391608	0.8328752917
74	0.6713286713	0.8292975653
75	0.6678321678	0.826367339
76	0.6678321678	0.8251830995
77	0.6748251748	0.8221223943
78	0.6748251748	0.8185520411
79	0.6748251748	0.8157266686
80	0.6713286713	0.8138102216
81	0.6748251748	0.8112033226
82	0.6783216783	0.8094605174
83	0.6783216783	0.8087081663
84	0.6783216783	0.8077680385
85	0.6783216783	0.8058519094
86	0.6783216783	0.8035211549
87	0.6783216783	0.8024323757
88	0.6783216783	0.7984590248
89	0.6783216783	0.7978211663
90	0.6818181818	0.7956556925
91	0.6923076923	0.7924819374
92	0.6958041958	0.7908912556
93	0.6993006993	0.7878397929
94	0.6993006993	0.785259835
95	0.7027972028	0.782657676
96	0.6993006993	0.7794150153
97	0.6958041958	0.7787830892
98	0.6958041958	0.7777990352
99	0.6993006993	0.7749415117
100	0.6993006993	0.7734099006
101	0.6993006993	0.77187623
102	0.7062937063	0.7704246529
103	0.7062937063	0.7683843945
104	0.7027972028	0.7647260319
105	0.7027972028	0.7631088458
106	0.7062937063	0.7623807949
107	0.7132867133	0.758067499
108	0.7167832168	0.7560545557
109	0.7132867133	0.7548670332
110	0.7202797203	0.7520542938
111	0.7202797203	0.7496813568
112	0.7237762238	0.7463231765
113	0.7272727273	0.7448160546
114	0.7307692308	0.7416032635
115	0.7307692308	0.7410969254
116	0.7237762238	0.7390089603
117	0.7272727273	0.7367428406
118	0.7272727273	0.7365181901
119	0.7307692308	0.7354676115
120	0.7307692308	0.7335638434
121	0.7307692308	0.7306259919
122	0.7307692308	0.7293547797
123	0.7307692308	0.7268993413
124	0.7342657343	0.7261079972
125	0.7342657343	0.7233721224
126	0.7342657343	0.7221023283
