iter	Accuracy	MultiClass
253	0.7597765363	0.6408750263
254	0.7569832402	0.6406149454
255	0.7569832402	0.6403812833
256	0.7597765363	0.6392205734
257	0.7541899441	0.6376088929
258	0.7541899441	0.6359310141
259	0.751396648	0.6347568798
260	0.7569832402	0.6331474162
261	0.7541899441	0.6329501726
262	0.7569832402	0.6325365545
263	0.7569832402	0.6305456843
264	0.7569832402	0.6302254607
265	0.7569832402	0.6292895974
266	0.7569832402	0.6283100257
267	0.7597765363	0.6280497863
268	0.7597765363	0.6275349108
269	0.7597765363	0.6271705559
270	0.7597765363	0.6263367612
271	0.7625698324	0.6257192648
272	0.7625698324	0.6254465571
273	0.7597765363	0.6243042086
274	0.7597765363	0.6225229854
275	0.7681564246	0.620584255
276	0.7681564246	0.6196966111
277	0.7625698324	0.6190472227
278	0.7653631285	0.6181366064
279	0.7709497207	0.6165636952
280	0.7709497207	0.616293376
281	0.7737430168	0.6155608546
282	0.7737430168	0.6149915397
283	0.7793296089	0.6134712975
284	0.7793296089	0.6130179167
285	0.7793296089	0.6121747227
286	0.7765363128	0.6117620931
287	0.7793296089	0.6112047884
288	0.7793296089	0.6106823116
289	0.7793296089	0.6092532548
290	0.7793296089	0.6083355012
291	0.7765363128	0.6067501998
292	0.7793296089	0.6051813444
293	0.782122905	0.6044157031
294	0.782122905	0.6037911843
295	0.7877094972	0.6028532753
296	0.7877094972	0.6025214999
297	0.7793296089	0.6015889028
298	0.7793296089	0.6009907938
299	0.7849162011	0.6003425288
300	0.7849162011	0.599462135
301	0.7793296089	0.5980712919
302	0.7793296089	0.5973516488
303	0.7793296089	0.5966739972
304	0.7765363128	0.5961435204
305	0.7793296089	0.5956926065
306	0.7793296089	0.5955502013
307	0.782122905	0.5946831394
308	0.7849162011	0.5932318329
309	0.782122905	0.5928426444
310	0.782122905	0.592378355
311	0.782122905	0.591665445
312	0.782122905	0.5907232083
313	0.7877094972	0.5901729915
314	0.7877094972	0.5892045492
315	0.7877094972	0.588970581
316	0.7849162011	0.5881899867
317	0.7849162011	0.587824883
318	0.7849162011	0.5863358867
319	0.7849162011	0.586204625
320	0.7932960894	0.5851178905
321	0.7960893855	0.5843303996
322	0.7932960894	0.5837061565
323	0.7932960894	0.5828836391
324	0.7960893855	0.5822071357
325	0.7960893855	0.5811281821
326	0.7960893855	0.5809050949
327	0.7960893855	0.5794433539
328	0.7960893855	0.5792362664
329	0.7960893855	0.5787319506
330	0.7960893855	0.5780558065
331	0.7960893855	0.5773636596
332	0.7988826816	0.5768197997
333	0.7960893855	0.5761562538
334	0.7960893855	0.5749775491
335	0.7932960894	0.5745755196
336	0.7932960894	0.573461378
337	0.7932960894	0.5733030132
338	0.7932960894	0.5731373414
339	0.7932960894	0.5726068042
340	0.7932960894	0.5722921529
341	0.7932960894	0.5715674602
342	0.7960893855	0.5712124492
343	0.7960893855	0.5701710048
344	0.7932960894	0.5689908806
345	0.7932960894	0.5684530667
346	0.7960893855	0.5682472863
347	0.7932960894	0.568025738
348	0.7932960894	0.5672624773
