iter	Accuracy	MultiClass
0	0.5034965035	1.080512252
1	0.513986014	1.063391364
2	0.5314685315	1.048460261
3	0.5034965035	1.038665759
4	0.506993007	1.028282086
5	0.5104895105	1.021181456
6	0.513986014	1.01223147
7	0.5174825175	1.004912073
8	0.520979021	0.9979035227
9	0.527972028	0.9899962576
10	0.527972028	0.9864789188
11	0.527972028	0.9838859439
12	0.5174825175	0.9817475652
13	0.5174825175	0.9797036227
14	0.5174825175	0.9781666807
15	0.5174825175	0.973167908
16	0.527972028	0.9687343379
17	0.527972028	0.9677383697
18	0.527972028	0.9657190796
19	0.527972028	0.964138098
20	0.527972028	0.9624457207
21	0.527972028	0.9618390071
22	0.5384615385	0.9580312547
23	0.5384615385	0.9560265657
24	0.5384615385	0.9546718504
25	0.5384615385	0.9519035828
26	0.5384615385	0.9516563002
27	0.534965035	0.9505085595
28	0.534965035	0.9495747339
29	0.5384615385	0.9481482552
30	0.534965035	0.9479813937
31	0.534965035	0.9478735233
32	0.534965035	0.9457387573
33	0.534965035	0.9452651176
34	0.5384615385	0.9432762181
35	0.5384615385	0.9428590697
36	0.541958042	0.9390909029
37	0.5384615385	0.9388674321
38	0.5384615385	0.9384869009
39	0.5454545455	0.9357803933
40	0.548951049	0.9341644457
41	0.5454545455	0.9341327234
42	0.5594405594	0.9326217702
43	0.5594405594	0.9322763837
44	0.5594405594	0.9311051568
45	0.548951049	0.9248040795
46	0.5594405594	0.92414047
47	0.5664335664	0.9220818061
48	0.5664335664	0.9219227869
49	0.5734265734	0.920624959
50	0.5699300699	0.9177654485
