iter	Accuracy	MultiClass
0	0.5034965035	1.082479086
1	0.5034965035	1.067831705
2	0.5174825175	1.055474576
3	0.5174825175	1.044235611
4	0.520979021	1.034637854
5	0.5174825175	1.028049545
6	0.5174825175	1.021172211
7	0.5174825175	1.016492901
8	0.5174825175	1.010815287
9	0.5174825175	1.005041277
10	0.5174825175	1.001867811
11	0.520979021	0.9967167231
12	0.520979021	0.9919237725
13	0.520979021	0.9897313328
14	0.520979021	0.9855907655
15	0.520979021	0.9819440257
16	0.520979021	0.9769089042
17	0.520979021	0.9748657589
18	0.520979021	0.9740477588
19	0.520979021	0.9704720002
20	0.5244755245	0.96819061
21	0.527972028	0.9671427365
22	0.527972028	0.9637021089
23	0.527972028	0.9631889162
24	0.5244755245	0.9629010047
25	0.5244755245	0.9593495152
26	0.5244755245	0.9590327297
27	0.527972028	0.9568966769
28	0.534965035	0.9541925144
29	0.534965035	0.9538229648
30	0.5384615385	0.952154382
31	0.5559440559	0.9486942951
32	0.5559440559	0.9484918066
33	0.5559440559	0.9476312456
34	0.5524475524	0.9434645189
35	0.5524475524	0.9415130656
36	0.5559440559	0.9407404291
37	0.5699300699	0.9372003023
38	0.5699300699	0.9360411265
39	0.5734265734	0.9343967391
40	0.5699300699	0.9332814379
41	0.5699300699	0.9321348288
42	0.5769230769	0.9302398381
43	0.5839160839	0.9285032819
44	0.5874125874	0.9251600806
45	0.5839160839	0.9229051653
46	0.5909090909	0.9204915919
47	0.5979020979	0.9180463109
48	0.6013986014	0.9142045112
49	0.6118881119	0.9114859112
50	0.6118881119	0.9089566827
51	0.6118881119	0.9060336269
52	0.6188811189	0.9053945244
53	0.6153846154	0.9028364035
54	0.6153846154	0.8981723045
55	0.6188811189	0.8952743375
56	0.6258741259	0.8930619512
57	0.6223776224	0.8896774608
58	0.6258741259	0.8864144672
59	0.6223776224	0.8860025686
60	0.6293706294	0.8818639173
61	0.6293706294	0.8801993464
62	0.6328671329	0.8786146243
63	0.6328671329	0.8772533065
64	0.6328671329	0.8749164796
65	0.6258741259	0.8727052477
66	0.6258741259	0.8712880135
67	0.6258741259	0.8673024249
68	0.6223776224	0.8667437538
69	0.6258741259	0.8655965168
70	0.6258741259	0.8638458359
71	0.6328671329	0.8608834478
72	0.6328671329	0.8593462214
73	0.6328671329	0.8559621747
74	0.6398601399	0.8534735716
75	0.6398601399	0.8507956597
76	0.6363636364	0.8493142994
77	0.6363636364	0.8481536865
78	0.6398601399	0.8474840205
79	0.6398601399	0.845913195
80	0.6433566434	0.8437305577
81	0.6433566434	0.8422228623
82	0.6433566434	0.8395776006
83	0.6433566434	0.8368426011
84	0.6433566434	0.8335819884
85	0.6433566434	0.8309924266
86	0.6398601399	0.8298325032
87	0.6433566434	0.8277437445
